"part_id","panel","multiple_contacts_child_school","multiple_contacts_adult_school","multiple_contacts_older_adult_school","multiple_contacts_school_precautions","multiple_contacts_school_duration","multiple_contacts_child_other","multiple_contacts_adult_other","multiple_contacts_older_adult_other","multiple_contacts_other_precautions","multiple_contacts_other_duration","survey_round","multiple_contacts_child_work","multiple_contacts_adult_work","multiple_contacts_older_adult_work","multiple_contacts_work_precautions","multiple_contacts_work_duration","panel_id"
11217413,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,112174
11217510,"B",NA,NA,NA,NA,NA,0,10,0,"Sometimes","15 minutes or more but less than 1 hour",10,5,10,5,"Sometimes","5 minutes or more but less than 15 minutes",112175
11217511,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,112175
11217513,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,112175
11217514,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,112175
11217515,"B",0,0,0,NA,NA,0,0,0,NA,NA,15,0,0,200,"Yes","15 minutes or more but less than 1 hour",112175
11217610,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112176
11217611,"B",NA,NA,NA,NA,NA,1,1,2,"Yes","5 minutes or more but less than 15 minutes",11,NA,NA,NA,NA,NA,112176
11217710,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112177
11217711,"B",NA,NA,NA,NA,NA,4,0,0,"Yes","1 hour or more",11,NA,NA,NA,NA,NA,112177
11217714,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,112177
11217810,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112178
11217811,"B",NA,NA,NA,NA,NA,0,5,3,"Sometimes","1 minutes or more but less than 5 minutes",11,NA,NA,NA,NA,NA,112178
11217813,"B",NA,NA,NA,NA,NA,3,10,5,"No","1 minutes or more but less than 5 minutes",13,NA,NA,NA,NA,NA,112178
11217814,"B",NA,NA,NA,NA,NA,1,2,3,"Prefer not to answer","15 minutes or more but less than 1 hour",14,NA,NA,NA,NA,NA,112178
11217910,"B",NA,NA,NA,NA,NA,1,1,2,"Sometimes","1 hour or more",10,5,5,5,"Sometimes","15 minutes or more but less than 1 hour",112179
11217911,"B",NA,NA,NA,NA,NA,0,0,0,NA,NA,11,0,0,0,NA,NA,112179
11217914,"B",NA,NA,NA,NA,NA,2,6,0,"Sometimes","1 minutes or more but less than 5 minutes",14,3,8,0,"Sometimes","1 minutes or more but less than 5 minutes",112179
11217915,"B",1,1,1,"Yes","5 minutes or more but less than 15 minutes",1,1,1,"Yes","5 minutes or more but less than 15 minutes",15,1,1,1,"Yes","5 minutes or more but less than 15 minutes",112179
11218010,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112180
11218011,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,112180
11218013,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,112180
11218110,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112181
11218111,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,112181
11218113,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,112181
11218115,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,112181
11218210,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112182
11218211,"B",NA,NA,NA,NA,NA,0,1,0,"Yes","5 minutes or more but less than 15 minutes",11,NA,NA,NA,NA,NA,112182
11218213,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,112182
11218214,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,112182
11218215,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,112182
11218310,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112183
11218410,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112184
11218411,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,112184
11218413,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,112184
11218510,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112185
11218511,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,112185
11218513,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,112185
11218610,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,112186
11218611,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,112186
