part_id,month,year,sday_id,dayofweek,day,wave
1425601,4,2020,2020.04.19,0,19,1
1425701,4,2020,2020.04.17,5,17,1
1425801,4,2020,2020.04.18,6,18,1
1425901,4,2020,2020.04.19,0,19,1
1426001,4,2020,2020.04.16,4,16,1
1426101,4,2020,2020.04.16,4,16,1
1426201,4,2020,2020.04.16,4,16,1
1426301,4,2020,2020.04.16,4,16,1
1426401,4,2020,2020.04.16,4,16,1
1426501,4,2020,2020.04.19,0,19,1
1426601,4,2020,2020.04.18,6,18,1
1426701,4,2020,2020.04.19,0,19,1
1426801,4,2020,2020.04.19,0,19,1
1426901,4,2020,2020.04.16,4,16,1
1427001,4,2020,2020.04.17,5,17,1
1427101,4,2020,2020.04.19,0,19,1
1427201,4,2020,2020.04.19,0,19,1
1427301,4,2020,2020.04.19,0,19,1
1427401,4,2020,2020.04.19,0,19,1
1427601,4,2020,2020.04.19,0,19,1
1427701,4,2020,2020.04.19,0,19,1
1427801,4,2020,2020.04.19,0,19,1
1427901,4,2020,2020.04.17,5,17,1
1428001,4,2020,2020.04.16,4,16,1
1428101,4,2020,2020.04.19,0,19,1
1428301,4,2020,2020.04.16,4,16,1
1428401,4,2020,2020.04.19,0,19,1
1428501,4,2020,2020.04.19,0,19,1
1428601,4,2020,2020.04.19,0,19,1
1428701,4,2020,2020.04.16,4,16,1
1428801,4,2020,2020.04.19,0,19,1
1428901,4,2020,2020.04.19,0,19,1
1429001,4,2020,2020.04.16,4,16,1
1429101,4,2020,2020.04.19,0,19,1
1429201,4,2020,2020.04.20,1,20,1
1429301,4,2020,2020.04.16,4,16,1
1429401,4,2020,2020.04.16,4,16,1
1429501,4,2020,2020.04.16,4,16,1
1429601,4,2020,2020.04.16,4,16,1
1429701,4,2020,2020.04.19,0,19,1
1429801,4,2020,2020.04.16,4,16,1
1429901,4,2020,2020.04.19,0,19,1
1430001,4,2020,2020.04.19,0,19,1
1430101,4,2020,2020.04.19,0,19,1
1430201,4,2020,2020.04.17,5,17,1
1430301,4,2020,2020.04.16,4,16,1
1430401,4,2020,2020.04.19,0,19,1
1430501,4,2020,2020.04.19,0,19,1
1430601,4,2020,2020.04.19,0,19,1
1430701,4,2020,2020.04.19,0,19,1
1430801,4,2020,2020.04.16,4,16,1
1430901,4,2020,2020.04.19,0,19,1
1431001,4,2020,2020.04.19,0,19,1
1431101,4,2020,2020.04.19,0,19,1
1431201,4,2020,2020.04.16,4,16,1
1431301,4,2020,2020.04.19,0,19,1
1431501,4,2020,2020.04.16,4,16,1
1431601,4,2020,2020.04.19,0,19,1
1431701,4,2020,2020.04.20,1,20,1
1431801,4,2020,2020.04.16,4,16,1
1431901,4,2020,2020.04.19,0,19,1
1432001,4,2020,2020.04.16,4,16,1
1432101,4,2020,2020.04.17,5,17,1
1432201,4,2020,2020.04.19,0,19,1
1432401,4,2020,2020.04.16,4,16,1
1432501,4,2020,2020.04.16,4,16,1
1432601,4,2020,2020.04.19,0,19,1
1432701,4,2020,2020.04.19,0,19,1
1432801,4,2020,2020.04.19,0,19,1
1432901,4,2020,2020.04.19,0,19,1
1433001,4,2020,2020.04.19,0,19,1
1433101,4,2020,2020.04.16,4,16,1
1433301,4,2020,2020.04.19,0,19,1
1433401,4,2020,2020.04.16,4,16,1
1433501,4,2020,2020.04.19,0,19,1
1433601,4,2020,2020.04.16,4,16,1
1433701,4,2020,2020.04.19,0,19,1
1433801,4,2020,2020.04.19,0,19,1
1433901,4,2020,2020.04.17,5,17,1
1434001,4,2020,2020.04.16,4,16,1
1434101,4,2020,2020.04.19,0,19,1
1434201,4,2020,2020.04.19,0,19,1
1434301,4,2020,2020.04.18,6,18,1
1434401,4,2020,2020.04.19,0,19,1
1434501,4,2020,2020.04.19,0,19,1
1434601,4,2020,2020.04.19,0,19,1
1434701,4,2020,2020.04.16,4,16,1
1434801,4,2020,2020.04.19,0,19,1
1434901,4,2020,2020.04.19,0,19,1
1435001,4,2020,2020.04.16,4,16,1
1435101,4,2020,2020.04.19,0,19,1
1435201,4,2020,2020.04.16,4,16,1
1435301,4,2020,2020.04.16,4,16,1
1435401,4,2020,2020.04.19,0,19,1
1435501,4,2020,2020.04.19,0,19,1
1435601,4,2020,2020.04.19,0,19,1
1435701,4,2020,2020.04.16,4,16,1
1435801,4,2020,2020.04.17,5,17,1
1435901,4,2020,2020.04.16,4,16,1
1436001,4,2020,2020.04.19,0,19,1
1436101,4,2020,2020.04.16,4,16,1
1436201,4,2020,2020.04.19,0,19,1
1436301,4,2020,2020.04.19,0,19,1
1436401,4,2020,2020.04.19,0,19,1
1436501,4,2020,2020.04.16,4,16,1
1436601,4,2020,2020.04.19,0,19,1
1436701,4,2020,2020.04.16,4,16,1
1436801,4,2020,2020.04.19,0,19,1
1436901,4,2020,2020.04.20,1,20,1
1437001,4,2020,2020.04.16,4,16,1
1437101,4,2020,2020.04.19,0,19,1
1437201,4,2020,2020.04.16,4,16,1
1437301,4,2020,2020.04.19,0,19,1
1437401,4,2020,2020.04.19,0,19,1
1437501,4,2020,2020.04.16,4,16,1
1437601,4,2020,2020.04.19,0,19,1
1437701,4,2020,2020.04.20,1,20,1
1437801,4,2020,2020.04.18,6,18,1
1437901,4,2020,2020.04.20,1,20,1
1438001,4,2020,2020.04.19,0,19,1
1438101,4,2020,2020.04.19,0,19,1
1438201,4,2020,2020.04.19,0,19,1
1438301,4,2020,2020.04.17,5,17,1
1438401,4,2020,2020.04.19,0,19,1
1438501,4,2020,2020.04.19,0,19,1
1438601,4,2020,2020.04.19,0,19,1
1438701,4,2020,2020.04.19,0,19,1
1438801,4,2020,2020.04.19,0,19,1
1438901,4,2020,2020.04.17,5,17,1
1439001,4,2020,2020.04.19,0,19,1
1439101,4,2020,2020.04.16,4,16,1
1439201,4,2020,2020.04.19,0,19,1
1439301,4,2020,2020.04.20,1,20,1
1439401,4,2020,2020.04.19,0,19,1
1439501,4,2020,2020.04.19,0,19,1
1439601,4,2020,2020.04.19,0,19,1
1439701,4,2020,2020.04.16,4,16,1
1439801,4,2020,2020.04.16,4,16,1
1439901,4,2020,2020.04.16,4,16,1
1440001,4,2020,2020.04.19,0,19,1
1440101,4,2020,2020.04.19,0,19,1
1440201,4,2020,2020.04.20,1,20,1
1440301,4,2020,2020.04.20,1,20,1
1440401,4,2020,2020.04.19,0,19,1
1440501,4,2020,2020.04.19,0,19,1
1440601,4,2020,2020.04.19,0,19,1
1440801,4,2020,2020.04.19,0,19,1
1440901,4,2020,2020.04.19,0,19,1
1441001,4,2020,2020.04.19,0,19,1
1441101,4,2020,2020.04.19,0,19,1
1441201,4,2020,2020.04.19,0,19,1
1441301,4,2020,2020.04.19,0,19,1
1441401,4,2020,2020.04.19,0,19,1
1441501,4,2020,2020.04.17,5,17,1
1441601,4,2020,2020.04.19,0,19,1
1441701,4,2020,2020.04.19,0,19,1
1441801,4,2020,2020.04.17,5,17,1
1441901,4,2020,2020.04.19,0,19,1
1442001,4,2020,2020.04.16,4,16,1
1442101,4,2020,2020.04.19,0,19,1
1442201,4,2020,2020.04.16,4,16,1
1442301,4,2020,2020.04.17,5,17,1
1442501,4,2020,2020.04.16,4,16,1
1442601,4,2020,2020.04.19,0,19,1
1442701,4,2020,2020.04.19,0,19,1
1442801,4,2020,2020.04.19,0,19,1
