"cont_id","cnt_relation","cnt_hospital","collection_period"
"1036_outbreak_2",1,FALSE,"outbreak"
"1036_outbreak_3",1,FALSE,"outbreak"
"1036_outbreak_4",1,FALSE,"outbreak"
"1037_baseline_1",NA,NA,"baseline"
"1037_baseline_10",NA,NA,"baseline"
"1037_baseline_11",NA,NA,"baseline"
"1037_baseline_12",NA,NA,"baseline"
"1037_baseline_13",NA,NA,"baseline"
"1037_baseline_14",NA,NA,"baseline"
"1037_baseline_15",NA,NA,"baseline"
"1037_baseline_16",NA,NA,"baseline"
"1037_baseline_17",NA,NA,"baseline"
"1037_baseline_2",NA,NA,"baseline"
"1037_baseline_3",NA,NA,"baseline"
"1037_baseline_4",NA,NA,"baseline"
"1037_baseline_5",NA,NA,"baseline"
"1037_baseline_6",NA,NA,"baseline"
"1037_baseline_7",NA,NA,"baseline"
"1037_baseline_8",NA,NA,"baseline"
"1037_baseline_9",NA,NA,"baseline"
"1037_outbreak_1",1,FALSE,"outbreak"
"1038_baseline_1",NA,NA,"baseline"
"1038_baseline_10",NA,NA,"baseline"
"1038_baseline_2",NA,NA,"baseline"
"1038_baseline_3",NA,NA,"baseline"
"1038_baseline_4",NA,NA,"baseline"
"1038_baseline_5",NA,NA,"baseline"
"1038_baseline_6",NA,NA,"baseline"
"1038_baseline_7",NA,NA,"baseline"
"1038_baseline_8",NA,NA,"baseline"
"1038_baseline_9",NA,NA,"baseline"
"1039_baseline_1",NA,NA,"baseline"
"1039_baseline_10",NA,NA,"baseline"
"1039_baseline_100",NA,NA,"baseline"
"1039_baseline_11",NA,NA,"baseline"
"1039_baseline_12",NA,NA,"baseline"
"1039_baseline_13",NA,NA,"baseline"
"1039_baseline_14",NA,NA,"baseline"
"1039_baseline_15",NA,NA,"baseline"
"1039_baseline_16",NA,NA,"baseline"
"1039_baseline_17",NA,NA,"baseline"
"1039_baseline_18",NA,NA,"baseline"
"1039_baseline_19",NA,NA,"baseline"
