part_id,round,survey_date,survey_day,dayofweek,year
1113200,0,2016-06-25,Saturday,6,2016
1113300,0,2016-06-24,Friday,5,2016
1113400,0,2016-06-20,Monday,1,2016
1113500,0,2016-06-13,Monday,1,2016
1113600,0,2016-06-21,Tuesday,2,2016
1113700,0,2016-06-17,Friday,5,2016
1113900,0,2016-03-27,Sunday,7,2016
1114000,0,2016-06-24,Friday,5,2016
1114100,0,2016-06-21,Tuesday,2,2016
1114200,0,2016-06-27,Monday,1,2016
1114300,0,2016-06-28,Tuesday,2,2016
1114400,0,2016-06-25,Saturday,6,2016
1114900,0,2016-06-26,Sunday,7,2016
1115000,0,2016-06-26,Sunday,7,2016
1115100,0,2016-06-26,Sunday,7,2016
1115400,0,2016-06-24,Friday,5,2016
1115600,0,2016-06-27,Monday,1,2016
1116200,0,2016-06-28,Tuesday,2,2016
1116400,0,2016-06-23,Tuesday,2,2016
1116500,0,2016-06-27,Tuesday,2,2016
1116700,0,2016-06-25,Saturday,6,2016
1116800,0,2016-06-26,Sunday,7,2016
1116900,0,2016-06-28,Tuesday,2,2016
1117400,0,2016-06-14,Tuesday,2,2016
1117500,0,2016-06-19,Sunday,7,2016
1117600,0,2016-06-26,Sunday,7,2016
1117700,0,2016-06-27,Monday,1,2016
1117900,0,2016-06-14,Tuesday,2,2016
1118000,0,2016-06-13,Monday,1,2016
1118500,0,2016-06-19,Saturday,6,2016
1118700,0,2016-06-28,Tuesday,2,2016
1118800,0,2016-06-28,Tuesday,2,2016
1118900,0,2016-06-26,Sunday,7,2016
1119000,0,2016-06-22,Wednesday,3,2016
1119100,0,2016-06-27,Monday,1,2016
1119200,0,2016-06-28,Tuesday,2,2016
1119300,0,2016-06-28,Tuesday,2,2016
1119400,0,NA,Sunday,7,NA
1120100,0,2016-06-28,Tuesday,2,2016
1120200,0,2016-06-28,Tuesday,2,2016
1120300,0,2016-06-29,Wednesday,3,2016
1120500,0,2016-06-26,Sunday,7,2016
1120600,0,2016-06-13,Monday,1,2016
1120700,0,2016-06-27,Tuesday,2,2016
1120800,0,2016-06-29,Wednesday,3,2016
1121200,0,2016-06-28,Tuesday,2,2016
1121300,0,2016-06-29,Wednesday,3,2016
1121500,0,2016-06-29,Wednesday,3,2016
1121600,0,2016-06-29,Wednesday,3,2016
1121900,0,2016-06-04,Saturday,6,2016
1122100,0,2016-06-22,Thursday,4,2016
1122300,0,2016-06-29,Wednesday,3,2016
1122500,0,2016-07-03,Sunday,7,2016
1122700,0,2016-07-02,Saturday,6,2016
1122800,0,2016-06-19,Sunday,7,2016
1122900,0,2016-07-01,Sunday,7,2016
1123000,0,2016-07-03,Sunday,7,2016
1123100,0,2016-07-02,Saturday,6,2016
1123200,0,2016-06-19,Sunday,7,2016
1123400,0,2016-06-19,Sunday,7,2016
