part_id,cont_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi
11502,11502_2_1_14,NA,60,65,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,4
11502,11502_2_1_15,NA,40,45,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,4
11502,11502_2_1_16,NA,30,35,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,4
11502,11502_2_1_17,NA,25,30,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,4
11502,11502_2_1_18,NA,40,45,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,2
11502,11502_2_1_19,NA,40,45,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,2
11502,11502_2_2_1,47,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
6602,6602_2_1_1,34,NA,NA,F,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,5
6602,6602_2_1_2,6,NA,NA,F,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,5
6602,6602_2_1_3,NA,40,45,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,2,2
6602,6602_2_1_4,NA,30,35,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,2
6602,6602_2_1_5,NA,65,70,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,2
6602,6602_2_1_6,NA,45,50,M,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,2,1
6602,6602_2_1_7,NA,40,45,M,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,2,1
6602,6602_2_1_8,NA,5,10,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
6602,6602_2_1_9,NA,35,40,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
6602,6602_2_1_10,NA,40,45,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,2,2
6602,6602_2_1_11,NA,30,35,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1,2
6602,6602_2_1_12,NA,40,45,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
6602,6602_2_1_13,NA,10,15,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
6602,6602_2_1_14,NA,45,50,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,2,1
6602,6602_2_1_15,NA,10,15,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
6602,6602_2_1_16,NA,30,35,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,2
6602,6602_2_1_17,NA,65,70,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,2
6602,6602_2_1_18,NA,45,50,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,2
6602,6602_2_1_19,60,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1,1
6602,6602_2_1_20,NA,60,65,M,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,2,1
6602,6602_2_1_21,NA,60,65,F,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,2,1
6602,6602_2_1_22,NA,40,45,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
6602,6602_2_1_23,NA,40,45,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
6602,6602_2_1_24,NA,35,40,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,2
6602,6602_2_1_25,NA,20,25,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,2
6602,6602_2_1_26,NA,30,35,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
6602,6602_2_1_27,NA,30,35,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
6602,6602_2_1_28,NA,55,60,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1
6602,6602_2_1_29,NA,35,40,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1,3
6602,6602_2_1_30,NA,30,35,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,2,1
6602,6602_2_1_31,34,NA,NA,M,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,4
6602,6602_2_1_32,60,NA,NA,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,1,4
6602,6602_2_1_33,62,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,1,4
6602,6602_2_1_34,39,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1,4
6602,6602_2_1_35,3,NA,NA,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1,4
6602,6602_2_1_36,12,NA,NA,M,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1,4
6602,6602_2_1_37,NA,35,40,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,2,1
6602,6602_2_1_38,NA,30,35,F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,2
6602,6602_2_2_1,34,NA,NA,F,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,5
6602,6602_2_2_2,34,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
6602,6602_2_2_3,6,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
6602,6602_2_2_4,33,NA,NA,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
6602,6602_2_2_5,40,NA,NA,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,4
6602,6602_2_2_6,0,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,4
6602,6602_2_2_7,0,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,5
6602,6602_2_2_8,4,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,5
6602,6602_2_2_9,35,NA,NA,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,2,4
6602,6602_2_2_10,2,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,2,4
6602,6602_2_2_11,38,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,4
6602,6602_2_2_12,3,NA,NA,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,4
6602,6602_2_2_13,34,NA,NA,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,4
7516,7516_2_1_1,42,NA,NA,M,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
7516,7516_2_1_2,41,NA,NA,F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3
7516,7516_2_1_3,15,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3
7516,7516_2_1_4,16,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3
7516,7516_2_1_5,15,NA,NA,M,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2
7516,7516_2_1_6,16,NA,NA,M,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,1
7516,7516_2_1_7,16,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3
7516,7516_2_1_8,16,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3
7516,7516_2_1_9,16,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2
7516,7516_2_1_10,16,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2
7516,7516_2_1_11,16,NA,NA,M,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2
7516,7516_2_1_12,16,NA,NA,M,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3
7516,7516_2_1_13,16,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2
7516,7516_2_1_14,15,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2
7516,7516_2_1_15,16,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2
7516,7516_2_1_16,16,NA,NA,M,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,1
7516,7516_2_1_17,16,NA,NA,M,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,1
7516,7516_2_1_18,16,NA,NA,M,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3
7516,7516_2_1_19,16,NA,NA,F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3
7516,7516_2_1_20,15,NA,NA,M,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2,1
7516,7516_2_1_21,15,NA,NA,M,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,2
7516,7516_2_1_22,16,NA,NA,F,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,4
7516,7516_2_1_23,16,NA,NA,M,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,2,4
7516,7516_2_1_24,16,NA,NA,F,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,4
7516,7516_2_1_25,16,NA,NA,F,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,4
7516,7516_2_1_26,16,NA,NA,F,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,4
7516,7516_2_1_27,17,NA,NA,M,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,2,4
