hh_id,country,hh_size
HH10178903,ch,NA
HH10179001,ch,4
HH10179003,ch,NA
HH10179101,ch,1
HH10179103,ch,NA
HH10179201,ch,2
HH10179203,ch,NA
HH10179301,ch,2
HH10179303,ch,NA
HH10179401,ch,1
HH10179403,ch,NA
HH10179501,ch,4
HH10179503,ch,NA
HH10179601,ch,2
HH10179603,ch,NA
HH10179701,ch,2
HH10179703,ch,NA
HH10179801,ch,2
HH10179803,ch,NA
HH10179901,ch,2
HH10180001,ch,4
HH10180003,ch,NA
HH10180101,ch,2
HH10180103,ch,NA
HH10180201,ch,4
HH10180203,ch,NA
HH10180301,ch,6
HH10180303,ch,NA
HH10180401,ch,3
HH10180403,ch,NA
HH10180501,ch,1
HH10180503,ch,NA
HH10180601,ch,1
HH10180701,ch,5
HH10180708,ch,NA
HH10180801,ch,2
HH10180901,ch,3
HH10180903,ch,NA
HH10181001,ch,3
HH10181003,ch,NA
HH10181101,ch,4
HH10181201,ch,2
HH10181203,ch,NA
HH10181301,ch,1
HH10181303,ch,NA
HH10181307,ch,NA
HH10181308,ch,NA
HH10181309,ch,NA
HH10181401,ch,2
HH10181403,ch,NA
HH10181407,ch,NA
HH10181408,ch,NA
HH10181409,ch,NA
HH10181501,ch,2
HH10181503,ch,NA
HH10181601,ch,4
HH10181701,ch,3
HH10181703,ch,NA
HH10181705,ch,NA
HH10181707,ch,NA
HH10181708,ch,NA
HH10181709,ch,NA
HH10181801,ch,2
HH10181804,ch,NA
HH10181807,ch,NA
HH10181808,ch,NA
HH10181809,ch,NA
HH10181901,ch,2
HH10182001,ch,1
HH10182101,ch,2
HH10182104,ch,NA
HH10182105,ch,NA
HH10182107,ch,NA
HH10182108,ch,NA
HH10182109,ch,NA
HH10182201,ch,1
HH10182203,ch,NA
HH10182301,ch,2
HH10182303,ch,NA
HH10182309,ch,NA
HH10182401,ch,4
HH10182501,ch,4
HH10182601,ch,3
HH10182701,ch,4
HH10182704,ch,NA
HH10182705,ch,NA
