cont_id,wave,studyDay
311_2_1_3,2,1
311_2_1_4,2,1
311_2_1_5,2,1
311_2_1_6,2,1
311_2_1_7,2,1
311_2_2_1,2,2
311_2_2_2,2,2
311_2_2_3,2,2
311_2_2_4,2,2
2341_1_1_1,1,1
2341_1_1_2,1,1
2341_1_1_3,1,1
2341_1_1_4,1,1
2341_1_1_5,1,1
2341_1_1_6,1,1
2341_1_1_7,1,1
2341_1_1_8,1,1
2341_1_1_9,1,1
2341_1_1_10,1,1
2341_1_1_11,1,1
2341_1_1_12,1,1
2341_1_2_1,1,2
1133_1_1_1,1,1
1133_1_1_2,1,1
1133_1_1_3,1,1
1133_1_1_4,1,1
1133_1_1_5,1,1
1133_1_1_6,1,1
1133_1_1_7,1,1
1133_1_1_8,1,1
1133_1_1_9,1,1
1133_1_1_10,1,1
2299_1_1_1,1,1
2299_1_1_2,1,1
2299_1_1_3,1,1
2299_1_1_4,1,1
2299_1_1_5,1,1
2299_1_2_1,1,2
2299_1_2_2,1,2
2299_1_2_3,1,2
2299_1_2_4,1,2
2299_1_2_5,1,2
2299_1_2_6,1,2
1866_1_1_1,1,1
1866_1_1_2,1,1
1866_1_1_3,1,1
1866_1_1_4,1,1
1866_1_1_5,1,1
1866_1_1_6,1,1
1866_1_1_7,1,1
1866_1_2_1,1,2
1866_1_2_2,1,2
1866_1_2_3,1,2
1866_1_2_4,1,2
1866_1_2_5,1,2
1866_1_2_6,1,2
1866_1_2_7,1,2
1866_1_2_8,1,2
1866_1_2_9,1,2
1866_1_2_10,1,2
1639_1_1_1,1,1
1639_1_1_2,1,1
1639_1_1_3,1,1
1639_1_1_4,1,1
1639_1_1_5,1,1
1639_1_1_6,1,1
1639_1_1_7,1,1
1639_1_1_8,1,1
1639_1_1_9,1,1
1639_1_1_10,1,1
1639_1_1_11,1,1
1639_1_1_12,1,1
1639_1_1_13,1,1
1639_1_1_14,1,1
1639_1_1_15,1,1
1639_1_1_16,1,1
1639_1_1_17,1,1
1639_1_1_18,1,1
1639_1_1_19,1,1
1639_1_1_20,1,1
1639_1_1_21,1,1
1639_1_1_22,1,1
1639_1_1_23,1,1
1639_1_1_24,1,1
1639_1_1_25,1,1
1639_1_1_26,1,1
1639_1_1_27,1,1
1639_1_1_28,1,1
1639_1_2_1,1,2
1639_1_2_2,1,2
1639_1_2_3,1,2
1639_1_2_4,1,2
1639_1_2_5,1,2
1639_1_2_6,1,2
1639_1_2_7,1,2
1639_1_2_8,1,2
1639_1_2_9,1,2
1639_1_2_10,1,2
1639_1_2_11,1,2
1639_1_2_12,1,2
1639_1_2_13,1,2
1639_1_2_14,1,2
1639_1_2_15,1,2
1639_1_2_16,1,2
1639_1_2_17,1,2
1639_1_2_18,1,2
1639_1_2_19,1,2
1639_1_2_20,1,2
1639_1_2_21,1,2
1639_1_2_22,1,2
1639_1_2_23,1,2
1639_1_2_24,1,2
1639_1_2_25,1,2
1639_1_2_26,1,2
1639_1_2_27,1,2
1639_1_2_28,1,2
1639_1_2_29,1,2
1639_1_2_30,1,2
1639_1_2_31,1,2
1639_1_2_32,1,2
1639_1_2_33,1,2
1639_1_2_34,1,2
1639_1_2_35,1,2
1639_1_2_36,1,2
1639_1_2_37,1,2
1639_1_2_38,1,2
1639_1_2_39,1,2
1639_1_2_40,1,2
309_1_1_1,1,1
309_1_1_2,1,1
309_1_1_3,1,1
309_1_1_4,1,1
309_1_1_5,1,1
309_1_1_6,1,1
309_1_1_7,1,1
309_1_1_8,1,1
309_1_1_9,1,1
