"hh_id","hh_size_group"
"HH2075","(1,2]"
"HH2076","(3,4]"
"HH2077","(2,3]"
"HH2078","(2,3]"
"HH2079","(1,2]"
"HH2080","(1,2]"
"HH2081","(3,4]"
"HH2082","(2,3]"
"HH2083","(2,3]"
"HH2084","(1,2]"
"HH2085","(2,3]"
"HH2086","(1,2]"
"HH2087","(2,3]"
"HH2088","(4,20]"
"HH2089","(1,2]"
"HH2090","(1,2]"
"HH2091","(2,3]"
"HH2092","(4,20]"
"HH2093","(1,2]"
"HH2094","(2,3]"
"HH2095","(1,2]"
"HH2096","(0,1]"
"HH2097","(2,3]"
"HH2098","(2,3]"
"HH2099","(0,1]"
"HH2100","(0,1]"
"HH2101","(2,3]"
"HH2102","(2,3]"
"HH2103","(1,2]"
"HH2104","(1,2]"
"HH2105","(4,20]"
"HH2106","(0,1]"
"HH2107","(0,1]"
"HH2108","(2,3]"
"HH2109","(1,2]"
"HH2110","(0,1]"
"HH2111","(0,1]"
"HH2112","(0,1]"
"HH2113","(0,1]"
"HH2114","(3,4]"
"HH2115","(0,1]"
"HH2116","(2,3]"
"HH2117","(2,3]"
"HH2118","(2,3]"
"HH2119","(3,4]"
"HH2120","(0,1]"
"HH2121","(0,1]"
"HH2122","(2,3]"
"HH2123","(3,4]"
"HH2124","(3,4]"
"HH2125","(0,1]"
"HH2126","(2,3]"
"HH2127","(1,2]"
"HH2128","(2,3]"
"HH2129","(1,2]"
"HH2130","(0,1]"
"HH2131","(0,1]"
"HH2132","(2,3]"
"HH2133","(0,1]"
"HH2134","(0,1]"
"HH2135","(3,4]"
"HH2136","(1,2]"
"HH2137","(2,3]"
"HH2138","(2,3]"
"HH2139","(3,4]"
"HH2140","(0,1]"
"HH2141","(4,20]"
"HH2142","(2,3]"
"HH2143","(1,2]"
"HH2144","(2,3]"
"HH2145","(1,2]"
"HH2146","(2,3]"
"HH2147","(2,3]"
"HH2148","(1,2]"
"HH2149","(3,4]"
"HH2150","(2,3]"
"HH2151","(1,2]"
"HH2152","(4,20]"
"HH2153","(3,4]"
"HH2154","(2,3]"
"HH2155","(1,2]"
"HH2156","(0,1]"
"HH2157","(1,2]"
"HH2158","(0,1]"
"HH2159","(1,2]"
"HH2160","(2,3]"
