cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all,cnt_prec_yn,cnt_prec,cnt_prec_none
uk_G1_700619170,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619171,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619172,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619173,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619174,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619175,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619176,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619177,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619178,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619179,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619180,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619181,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619182,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619183,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619184,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619185,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619186,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619187,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619188,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619189,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619190,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619191,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619192,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619193,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619194,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619195,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619196,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619197,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
uk_G1_700619198,NA,NA,NA,NA,NA,NA,NA,Sometimes,NA,NA
